,0,1,2,3,4,5
0,alpha_0.1_beta_0.5gamma_0.01_pop_size_10,2.000000225071,0.0,2.25071e-07,0.0,"[-3.3212399612128726e-08, -4.877255024948782e-07]"
1,alpha_0.1_beta_0.5gamma_0.01_pop_size_25,2.000000225071,0.0,2.25071e-07,0.0,"[-2.4041662593428665e-08, -4.4248816072869263e-07]"
2,alpha_0.1_beta_0.5gamma_0.01_pop_size_50,2.000000225071,0.0,2.25071e-07,0.0,"[1.4899829711392598e-10, -4.7040874699379077e-07]"
3,alpha_0.3_beta_0.7gamma_0.1_pop_size_10,2.000000225071,0.0,2.25071e-07,0.0,"[-6.3705635051379e-08, -3.738384356522375e-07]"
4,alpha_0.3_beta_0.7gamma_0.1_pop_size_25,2.000000225071,0.0,2.25071e-07,0.0,"[2.4559253214065055e-08, -4.536912141329242e-07]"
5,alpha_0.3_beta_0.7gamma_0.1_pop_size_50,2.000000225071,0.0,2.25071e-07,0.0,"[-1.0082684801327199e-08, -4.340775352352912e-07]"
6,alpha_0.5_beta_1gamma_1_pop_size_10,2.000000225071,0.0,2.25071e-07,0.0,"[1.7440971153190995e-08, -3.999999547557298]"
7,alpha_0.5_beta_1gamma_1_pop_size_25,2.000000225071,0.0,2.25071e-07,0.0,"[7.157418311141991e-08, -4.312678914617582e-07]"
8,alpha_0.5_beta_1gamma_1_pop_size_50,2.000000225071,0.0,2.25071e-07,0.0,"[-9.404002083704302e-09, -5.088041969448084e-07]"
9,alpha_0.8_beta_1.2gamma_10_pop_size_10,2.000000225071,0.0,2.25071e-07,0.0,"[-3.8958197197611566e-08, -3.999999680858199]"
10,alpha_0.8_beta_1.2gamma_10_pop_size_25,2.000000225071,0.0,2.25071e-07,0.0,"[2.2692794886028727e-08, -5.662047129797736e-07]"
11,alpha_0.8_beta_1.2gamma_10_pop_size_50,2.000000225071,0.0,2.25071e-07,0.0,"[-1.1948222515826496e-07, -4.376371937341482e-07]"
