VIX,VIX
14.23,14.23
13.76,13.76
13.55,13.55
12.92,12.92
12.87,12.87
12.89,12.89
12.14,12.14
13.28,13.28
12.28,12.28
12.28,12.28
12.53,12.53
12.44,12.44
12.87,12.87
12.84,12.84
13.77,13.77
18.14,18.14
17.42,17.42
15.8,15.8
17.35,17.35
17.29,17.29
18.41,18.41
21.44,21.44
19.11,19.11
19.95,19.95
17.23,17.23
15.29,15.29
15.26,15.26
14.51,14.51
14.3,14.3
14.14,14.14
13.57,13.57
13.87,13.87
15.5,15.5
14.79,14.79
14.68,14.68
14.23,14.23
13.67,13.67
14.35,14.35
14.04,14.04
14,14
16,16
14.1,14.1
13.89,13.89
14.21,14.21
14.11,14.11
14.2,14.2
14.8,14.8
14.47,14.47
16.22,16.22
17.82,17.82
15.64,15.64
14.52,14.52
15.12,15.12
14.52,14.52
15,15
15.09,15.09
14.02,14.02
14.93,14.93
14.62,14.62
14.41,14.41
13.88,13.88
13.1,13.1
13.09,13.09
13.37,13.37
13.96,13.96
15.57,15.57
14.89,14.89
13.82,13.82
15.89,15.89
17.03,17.03
16.11,16.11
15.61,15.61
14.18,14.18
13.36,13.36
13.25,13.25
13.19,13.19
13.27,13.27
13.32,13.32
14.06,14.06
13.97,13.97
13.71,13.71
13.41,13.41
13.25,13.25
12.91,12.91
13.29,13.29
13.8,13.8
13.4,13.4
13.43,13.43
12.92,12.92
12.23,12.23
12.13,12.13
12.17,12.17
13.17,13.17
12.44,12.44
12.42,12.42
12.96,12.96
11.91,11.91
12.03,12.03
11.36,11.36
11.51,11.51
11.68,11.68
11.57,11.57
11.4,11.4
11.58,11.58
11.87,11.87
12.08,12.08
11.68,11.68
10.73,10.73
11.15,11.15
10.99,10.99
11.6,11.6
12.56,12.56
12.18,12.18
12.65,12.65
12.06,12.06
10.61,10.61
10.62,10.62
10.85,10.85
10.98,10.98
12.13,12.13
11.59,11.59
11.63,11.63
11.26,11.26
11.57,11.57
11.15,11.15
10.82,10.82
10.32,10.32
11.33,11.33
11.98,11.98
11.65,11.65
12.59,12.59
12.08,12.08
11.82,11.82
11.96,11.96
11,11
14.54,14.54
12.06,12.06
12.81,12.81
12.24,12.24
11.52,11.52
11.84,11.84
12.69,12.69
12.56,12.56
13.28,13.28
13.33,13.33
16.95,16.95
17.03,17.03
15.12,15.12
16.87,16.87
16.37,16.37
16.66,16.66
15.77,15.77
14.23,14.23
14.13,14.13
12.9,12.9
12.42,12.42
13.15,13.15
12.32,12.32
12.21,12.21
11.78,11.78
11.76,11.76
11.47,11.47
11.7,11.7
11.63,11.63
11.78,11.78
12.05,12.05
11.98,11.98
12.25,12.25
12.36,12.36
12.64,12.64
12.09,12.09
12.66,12.66
13.5,13.5
12.88,12.88
12.8,12.8
13.31,13.31
14.12,14.12
12.73,12.73
12.65,12.65
12.03,12.03
12.11,12.11
13.69,13.69
14.93,14.93
13.27,13.27
15.64,15.64
14.85,14.85
15.98,15.98
16.3,16.3
16.71,16.71
16.16,16.16
14.55,14.55
15.46,15.46
17.2,17.2
15.11,15.11
18.76,18.76
21.24,21.24
24.64,24.64
22.79,22.79
26.25,26.25
25.2,25.2
21.99,21.99
18.57,18.57
16.08,16.08
17.87,17.87
16.53,16.53
16.11,16.11
16.04,16.04
14.39,14.39
15.15,15.15
14.52,14.52
14.03,14.03
14.73,14.73
14.89,14.89
14.17,14.17
13.67,13.67
13.12,13.12
12.67,12.67
12.92,12.92
13.02,13.02
13.79,13.79
13.31,13.31
13.99,13.99
13.86,13.86
13.96,13.96
13.58,13.58
12.9,12.9
12.62,12.62
12.25,12.25
12.07,12.07
13.33,13.33
14.29,14.29
12.85,12.85
12.47,12.47
12.38,12.38
11.82,11.82
14.21,14.21
15.35,15.35
18.53,18.53
20.07,20.07
21.08,21.08
20.42,20.42
23.57,23.57
19.44,19.44
16.8,16.8
16.48,16.48
15.25,15.25
14.8,14.8
14.37,14.37
14.5,14.5
15.06,15.06
15.92,15.92
19.2,19.2
17.79,17.79
19.92,19.92
21.12,21.12
19.31,19.31
17.01,17.01
17.55,17.55
19.6,19.6
20.56,20.56
21.48,21.48
22.39,22.39
20.95,20.95
19.89,19.89
18.85,18.85
16.4,16.4
16.66,16.66
15.52,15.52
17.22,17.22
20.44,20.44
18.76,18.76
20.97,20.97
19.43,19.43
17.33,17.33
18.33,18.33
16.85,16.85
17.29,17.29
18.55,18.55
17.23,17.23
16.96,16.96
15.34,15.34
14.69,14.69
15.8,15.8
15.45,15.45
15.29,15.29
14.3,14.3
14.56,14.56
13.69,13.69
13.84,13.84
13.91,13.91
13.34,13.34
13.04,13.04
13.86,13.86
14.23,14.23
14.04,14.04
15.2,15.2
15.06,15.06
16.69,16.69
16.87,16.87
15.42,15.42
16,16
15.61,15.61
15.66,15.66
13.97,13.97
14.07,14.07
13.02,13.02
13.41,13.41
13.62,13.62
15.44,15.44
15.8,15.8
15.07,15.07
14.51,14.51
15.29,15.29
15.11,15.11
14.67,14.67
14.74,14.74
14.78,14.78
13.98,13.98
13.09,13.09
12.58,12.58
13.94,13.94
13.67,13.67
12.84,12.84
12.6,12.6
13.89,13.89
13.3,13.3
13.25,13.25
12.71,12.71
12.48,12.48
12.29,12.29
13.12,13.12
12.41,12.41
13.39,13.39
14.55,14.55
12.7,12.7
12.85,12.85
14.31,14.31
15.15,15.15
15.13,15.13
12.86,12.86
13.85,13.85
13.86,13.86
13.76,13.76
12.74,12.74
12.38,12.38
12.73,12.73
12.85,12.85
12.88,12.88
12.11,12.11
12.13,12.13
14.06,14.06
13.27,13.27
13.31,13.31
13.84,13.84
13.97,13.97
14.24,14.24
13.66,13.66
14.71,14.71
14.21,14.21
15.29,15.29
14.47,14.47
13.22,13.22
12.85,12.85
13.78,13.78
15.39,15.39
14.81,14.81
14.5,14.5
13.19,13.19
13.96,13.96
12.74,12.74
12.11,12.11
13.26,13.26
14.01,14.01
14.02,14.02
18.85,18.85
18.23,18.23
16.09,16.09
16.79,16.79
17.01,17.01
16.09,16.09
19.66,19.66
19.97,19.97
16.82,16.82
13.9,13.9
13.37,13.37
13.23,13.23
12.11,12.11
11.95,11.95
12.25,12.25
12.22,12.22
12.12,12.12
12.64,12.64
13.74,13.74
15.6,15.6
13.44,13.44
12.5,12.5
12.13,12.13
12.12,12.12
12.56,12.56
13,13
12.51,12.51
13.77,13.77
13.39,13.39
12.23,12.23
13.71,13.71
13.61,13.61
13.49,13.49
12.83,12.83
13.02,13.02
13.79,13.79
15.25,15.25
19.14,19.14
28.03,28.03
40.74,40.74
36.02,36.02
30.32,30.32
26.1,26.1
26.05,26.05
28.43,28.43
31.4,31.4
26.09,26.09
25.61,25.61
27.8,27.8
24.9,24.9
26.23,26.23
24.37,24.37
23.2,23.2
24.25,24.25
22.54,22.54
21.35,21.35
21.14,21.14
22.28,22.28
20.14,20.14
22.44,22.44
22.13,22.13
23.47,23.47
23.62,23.62
27.63,27.63
26.83,26.83
24.5,24.5
22.55,22.55
20.94,20.94
19.54,19.54
